Rodada;Data;Horário;Dia;Mandante;Visitante;Vencedor;Arena;Mandante Placar;Visitante Placar;Estado Mandante;Estado Visitante;Estado Vencedor
1;29/03/2003;16h00;Sábado;Athlético-PR;Grêmio;Athlético-PR;Arena da Baixada;2;0;PR;RS;PR
1;29/03/2003;16h00;Sábado;Guarani;Vasco;Guarani;Brinco de Ouro;4;2;SP;RJ;SP
1;30/03/2003;16h00;Domingo;Fortaleza;Bahia;-;Castelão;0;0;CE;BA;-
1;30/03/2003;16h00;Domingo;Flamengo;Coritiba;-;Maracanã;1;1;RJ;PR;-
1;30/03/2003;16h00;Domingo;Vitória;Figueirense;-;Barradão;1;1;ES;SC;-
1;30/03/2003;18h00;Domingo;Santos;Paraná;-;Vila Belmiro;2;2;SP;PR;-
1;30/03/2003;16h00;Domingo;Goiás;Paysandu;-;Serra Dourada;2;2;GO;PA;-
1;30/03/2003;16h00;Domingo;Internacional;Ponte Preta;-;Beira Rio;1;1;RS;SP;-
1;30/03/2003;16h00;Domingo;Cruzeiro;São Caetano;-;Mineirão;2;2;MG;SP;-
1;30/03/2003;16h00;Domingo;Juventude;São Paulo;-;Alfredo Jaconi;2;2;RS;SP;-
1;30/03/2003;18h00;Domingo;Corinthians;Atlético-MG;Atlético-MG;Pacaembu;0;3;SP;MG;MG
1;30/03/2003;16h00;Domingo;Criciúma;Fluminense;Criciúma;Heriberto Hulse;2;0;SC;RJ;SC
2;05/04/2003;16h00;Sábado;Fluminense;Fortaleza;-;Maracanã;1;1;RJ;CE;-
2;05/04/2003;16h00;Sábado;Atlético-MG;Santos;-;Mineirão;0;0;MG;SP;-
2;05/04/2003;18h00;Sábado;Grêmio;Guarani;Grêmio;Olímpico Monumental;3;1;RS;SP;RS
2;05/04/2003;16h00;Sábado;Coritiba;Internacional;Internacional;Couto Pereira;0;1;PR;RS;RS
2;06/04/2003;16h00;Domingo;Figueirense;Corinthians;-;Orlando Scarpelli;3;3;SC;SP;-
2;06/04/2003;18h00;Domingo;São Paulo;Cruzeiro;Cruzeiro;Morumbi;2;4;SP;MG;MG
2;06/04/2003;16h00;Domingo;Bahia;Flamengo;Flamengo;Fonte Nova;1;2;BA;RJ;RJ
2;06/04/2003;16h00;Domingo;Paraná;Athlético-PR;Paraná;Pinheirão;3;0;PR;PR;PR
2;06/04/2003;16h00;Domingo;Ponte Preta;Juventude;Ponte Preta;Moisés Lucarelli;1;0;SP;RS;SP
2;06/04/2003;16h00;Domingo;São Caetano;Criciúma;São Caetano;Anacleto Campanella;3;2;SP;SC;SP
2;06/04/2003;18h00;Domingo;Vasco;Goiás;Vasco;São Januário;6;4;RJ;GO;RJ
2;06/04/2003;16h00;Domingo;Paysandu;Vitória;Vitória;Mangueirão;1;2;PA;ES;ES
4;09/04/2003;21h40;Quarta-feira;Paysandu;Santos;Paysandu;Mangueirão;2;1;PA;SP;PA
3;12/04/2003;16h00;Sábado;Athlético-PR;Atlético-MG;Atlético-MG;Arena da Baixada;1;2;PR;MG;MG
3;12/04/2003;18h00;Sábado;Corinthians;Paysandu;Corinthians;Pacaembu;6;1;SP;PA;SP
3;12/04/2003;16h00;Sábado;Internacional;Bahia;Internacional;Beira Rio;2;0;RS;BA;RS
3;12/04/2003;16h00;Sábado;Santos;Figueirense;Santos;Vila Belmiro;2;0;SP;SC;SP
3;13/04/2003;16h00;Domingo;Goiás;Grêmio;-;Serra Dourada;1;1;GO;RS;-
3;13/04/2003;16h00;Domingo;Fortaleza;São Caetano;-;Presidente Vargas;1;1;CE;SP;-
3;13/04/2003;16h00;Domingo;Criciúma;São Paulo;-;Heriberto Hulse;1;1;SC;SP;-
3;13/04/2003;18h00;Domingo;Cruzeiro;Ponte Preta;Cruzeiro;Mineirão;3;0;MG;SP;MG
3;13/04/2003;18h00;Domingo;Flamengo;Fluminense;Flamengo;Maracanã;4;1;RJ;RJ;RJ
3;13/04/2003;16h00;Domingo;Guarani;Paraná;Guarani;Brinco de Ouro;2;0;SP;PR;SP
3;13/04/2003;16h00;Domingo;Juventude;Coritiba;Juventude;Alfredo Jaconi;2;1;RS;PR;RS
3;13/04/2003;16h00;Domingo;Vitória;Vasco;Vitória;Barradão;2;1;ES;RJ;ES
4;16/04/2003;20h30;Quarta-feira;Figueirense;Athlético-PR;-;Orlando Scarpelli;1;1;SC;PR;-
4;16/04/2003;21h40;Quarta-feira;Vasco;Corinthians;-;São Januário;2;2;RJ;SP;-
4;16/04/2003;20h30;Quarta-feira;Ponte Preta;Criciúma;-;Moisés Lucarelli;1;1;SP;SC;-
4;16/04/2003;21h40;Quarta-feira;São Caetano;Flamengo;-;Anacleto Campanella;1;1;SP;RJ;-
4;16/04/2003;20h30;Quarta-feira;Atlético-MG;Guarani;Atlético-MG;Mineirão;3;2;MG;SP;MG
4;16/04/2003;20h30;Quarta-feira;Bahia;Juventude;Bahia;Fonte Nova;3;1;BA;RS;BA
4;16/04/2003;21h40;Quarta-feira;Coritiba;Cruzeiro;Cruzeiro;Couto Pereira;3;4;PR;MG;MG
4;16/04/2003;20h30;Quarta-feira;Grêmio;Vitória;Grêmio;Olímpico Monumental;2;1;RS;ES;RS
4;17/04/2003;20h30;Quinta-feira;Fluminense;Internacional;Fluminense;Maracanã;3;1;RJ;RS;RJ
4;17/04/2003;20h30;Quinta-feira;Paraná;Goiás;Paraná;Pinheirão;3;1;PR;GO;PR
4;17/04/2003;20h30;Quinta-feira;São Paulo;Fortaleza;São Paulo;Morumbi;3;1;SP;CE;SP
12;18/04/2003;20h30;Quarta-feira;Flamengo;Cruzeiro;Flamengo;Maracanã;3;0;RJ;MG;RJ
5;19/04/2003;16h00;Sábado;São Caetano;Grêmio;-;Anacleto Campanella;1;1;SP;RS;-
5;19/04/2003;16h00;Sábado;Bahia;Atlético-MG;Atlético-MG;Fonte Nova;2;4;BA;MG;MG
5;19/04/2003;18h00;Sábado;Flamengo;Santos;Santos;Maracanã;0;2;RJ;SP;SP
5;20/04/2003;18h00;Domingo;Fluminense;Paraná;-;Maracanã;0;0;RJ;PR;-
5;20/04/2003;16h00;Domingo;Ponte Preta;Paysandu;-;Moisés Lucarelli;4;4;SP;PA;-
5;20/04/2003;16h00;Domingo;Juventude;Vitória;-;Alfredo Jaconi;1;1;RS;ES;-
5;20/04/2003;16h00;Domingo;Criciúma;Guarani;Criciúma;Heriberto Hulse;1;0;SC;SP;SC
5;20/04/2003;18h00;Domingo;Cruzeiro;Goiás;Cruzeiro;Mineirão;4;1;MG;GO;MG
5;20/04/2003;16h00;Domingo;Fortaleza;Athlético-PR;Fortaleza;Presidente Vargas;1;0;CE;PR;CE
5;20/04/2003;16h00;Domingo;Internacional;Corinthians;Internacional;Beira Rio;2;1;RS;SP;RS
5;20/04/2003;16h00;Domingo;São Paulo;Vasco;São Paulo;Morumbi;3;1;SP;RJ;SP
5;21/04/2003;20h30;Segunda-feira;Coritiba;Figueirense;Coritiba;Couto Pereira;1;0;PR;SC;PR
6;26/04/2003;18h00;Sábado;Guarani;Cruzeiro;-;Brinco de Ouro;1;1;SP;MG;-
6;26/04/2003;16h00;Sábado;Atlético-MG;Coritiba;Coritiba;Mineirão;1;2;MG;PR;PR
6;26/04/2003;16h00;Sábado;Vitória;Internacional;Internacional;Barradão;0;3;ES;RS;RS
6;26/04/2003;16h00;Sábado;Paraná;Bahia;Paraná;Pinheirão;3;1;PR;BA;PR
6;27/04/2003;16h00;Domingo;Corinthians;Flamengo;-;Pacaembu;1;1;SP;RJ;-
6;27/04/2003;16h00;Domingo;Figueirense;Ponte Preta;-;Orlando Scarpelli;0;0;SC;SP;-
6;27/04/2003;16h00;Domingo;Athlético-PR;Criciúma;Athlético-PR;Arena da Baixada;4;2;PR;SC;PR
6;27/04/2003;16h00;Domingo;Grêmio;Fluminense;Fluminense;Olímpico Monumental;0;1;RS;RJ;RJ
6;27/04/2003;16h00;Domingo;Goiás;Juventude;Goiás;Serra Dourada;7;0;GO;RS;GO
6;27/04/2003;18h00;Domingo;Paysandu;São Paulo;Paysandu;Mangueirão;5;2;PA;SP;PA
6;27/04/2003;16h00;Domingo;Santos;Fortaleza;Santos;Vila Belmiro;4;0;SP;CE;SP
6;27/04/2003;18h00;Domingo;Vasco;São Caetano;Vasco;São Januário;1;0;RJ;SP;RJ
7;03/05/2003;16h00;Sábado;Bahia;Grêmio;Bahia;Fonte Nova;2;1;BA;RS;BA
7;03/05/2003;18h00;Sábado;Cruzeiro;Athlético-PR;Cruzeiro;Mineirão;5;2;MG;PR;MG
7;03/05/2003;16h00;Sábado;Flamengo;Vitória;Flamengo;Maracanã;2;1;RJ;ES;RJ
7;04/05/2003;16h00;Domingo;Juventude;Guarani;-;Alfredo Jaconi;1;1;RS;SP;-
7;04/05/2003;18h00;Domingo;Fluminense;Vasco;-;Maracanã;0;0;RJ;RJ;-
7;04/05/2003;16h00;Domingo;Fortaleza;Corinthians;Corinthians;Castelão;1;2;CE;SP;SP
7;04/05/2003;16h00;Domingo;Coritiba;Paraná;Coritiba;Couto Pereira;2;1;PR;PR;PR
7;04/05/2003;16h00;Domingo;Internacional;Goiás;Internacional;Beira Rio;2;1;RS;GO;RS
7;04/05/2003;16h00;Domingo;Ponte Preta;Atlético-MG;Ponte Preta;Moisés Lucarelli;2;1;SP;MG;SP
7;04/05/2003;18h00;Domingo;Criciúma;Santos;Santos;Heriberto Hulse;1;3;SC;SP;SP
7;04/05/2003;16h00;Domingo;São Caetano;Paysandu;São Caetano;Anacleto Campanella;2;0;SP;PA;SP
7;04/05/2003;16h00;Domingo;São Paulo;Figueirense;São Paulo;Morumbi;3;2;SP;SC;SP
8;10/05/2003;16h00;Sábado;Goiás;Flamengo;-;Serra Dourada;1;1;GO;RJ;-
8;10/05/2003;18h00;Sábado;Corinthians;Criciúma;Corinthians;Pacaembu;3;0;SP;SC;SP
8;10/05/2003;16h00;Sábado;Santos;Cruzeiro;Cruzeiro;Vila Belmiro;0;2;SP;MG;MG
8;10/05/2003;16h00;Sábado;Paraná;Ponte Preta;Paraná;Pinheirão;3;2;PR;SP;PR
8;11/05/2003;16h00;Domingo;Vasco;Bahia;-;São Januário;1;1;RJ;BA;-
8;11/05/2003;16h00;Domingo;Paysandu;Fluminense;-;Mangueirão;2;2;PA;RJ;-
8;11/05/2003;16h00;Domingo;Atlético-MG;São Paulo;-;Mineirão;2;2;MG;SP;-
8;11/05/2003;16h00;Domingo;Athlético-PR;Juventude;Athlético-PR;Arena da Baixada;2;0;PR;RS;PR
8;11/05/2003;16h00;Domingo;Figueirense;São Caetano;Figueirense;Orlando Scarpelli;3;0;SC;SP;SC
8;11/05/2003;18h00;Domingo;Grêmio;Coritiba;Grêmio;Olímpico Monumental;1;0;RS;PR;RS
8;11/05/2003;16h00;Domingo;Guarani;Internacional;Guarani;Brinco de Ouro;3;0;SP;RS;SP
8;11/05/2003;16h00;Domingo;Vitória;Fortaleza;Vitória;Barradão;2;1;ES;CE;ES
9;17/05/2003;18h00;Sábado;Juventude;Santos;-;Alfredo Jaconi;1;1;RS;SP;-
9;17/05/2003;16h00;Sábado;Fluminense;Figueirense;Fluminense;Maracanã;3;0;RJ;SC;RJ
9;17/05/2003;16h00;Sábado;São Caetano;Atlético-MG;São Caetano;Anacleto Campanella;2;0;SP;MG;SP
9;18/05/2003;16h00;Domingo;Internacional;Athlético-PR;-;Beira Rio;1;1;RS;PR;-
9;18/05/2003;16h00;Domingo;Cruzeiro;Corinthians;-;Mineirão;1;1;MG;SP;-
9;18/05/2003;18h00;Domingo;Flamengo;Guarani;-;Maracanã;1;1;RJ;SP;-
9;18/05/2003;16h00;Domingo;Coritiba;Vasco;-;Couto Pereira;1;1;PR;RJ;-
9;18/05/2003;16h00;Domingo;Criciúma;Vitória;-;Heriberto Hulse;1;1;SC;ES;-
9;18/05/2003;16h00;Domingo;Bahia;Paysandu;Bahia;Fonte Nova;2;0;BA;PA;BA
9;18/05/2003;16h00;Domingo;Fortaleza;Goiás;Fortaleza;Castelão;1;0;CE;GO;CE
9;18/05/2003;16h00;Domingo;Ponte Preta;Grêmio;Ponte Preta;Moisés Lucarelli;2;1;SP;RS;SP
9;18/05/2003;18h00;Domingo;São Paulo;Paraná;São Paulo;Morumbi;2;0;SP;PR;SP
10;24/05/2003;16h00;Sábado;Paraná;São Caetano;-;Pinheirão;1;1;PR;SP;-
10;24/05/2003;16h00;Sábado;Atlético-MG;Fluminense;Atlético-MG;Independência;3;0;MG;RJ;MG
10;24/05/2003;16h00;Sábado;Corinthians;Juventude;Corinthians;Pacaembu;3;0;SP;RS;SP
10;24/05/2003;18h00;Sábado;Vasco;Ponte Preta;Vasco;São Januário;1;0;RJ;SP;RJ
10;25/05/2003;16h00;Domingo;Athlético-PR;Flamengo;Athlético-PR;Arena da Baixada;4;1;PR;RJ;PR
10;25/05/2003;16h00;Domingo;Paysandu;Coritiba;Coritiba;Mangueirão;1;3;PA;PR;PR
10;25/05/2003;16h00;Domingo;Goiás;Criciúma;Criciúma;Serra Dourada;0;2;GO;SC;SC
10;25/05/2003;16h00;Domingo;Figueirense;Bahia;Figueirense;Orlando Scarpelli;1;0;SC;BA;SC
10;25/05/2003;16h00;Domingo;Guarani;Fortaleza;Guarani;Brinco de Ouro;2;1;SP;CE;SP
10;25/05/2003;18h00;Domingo;Santos;Internacional;Santos;Vila Belmiro;2;1;SP;RS;SP
10;25/05/2003;16h00;Domingo;Grêmio;São Paulo;São Paulo;Olímpico Monumental;1;2;RS;SP;SP
10;25/05/2003;18h00;Domingo;Vitória;Cruzeiro;Vitória;Barradão;2;1;ES;MG;ES
11;31/05/2003;16h00;Sábado;Ponte Preta;São Caetano;-;Moisés Lucarelli;0;0;SP;SP;-
11;31/05/2003;16h00;Sábado;Coritiba;Guarani;Coritiba;Couto Pereira;3;2;PR;SP;PR
11;31/05/2003;16h00;Sábado;Cruzeiro;Criciúma;Cruzeiro;Mineirão;2;0;MG;SC;MG
11;31/05/2003;16h00;Sábado;Fluminense;Athlético-PR;Fluminense;Edson Passos;2;1;RJ;PR;RJ
11;31/05/2003;18h00;Sábado;Internacional;Paysandu;Internacional;Beira Rio;2;1;RS;PA;RS
11;01/06/2003;18h00;Domingo;Vasco;Atlético-MG;-;São Januário;2;2;RJ;MG;-
11;01/06/2003;16h00;Domingo;Bahia;Goiás;Bahia;Fonte Nova;2;1;BA;GO;BA
11;01/06/2003;18h00;Domingo;Corinthians;Vitória;Corinthians;Pacaembu;4;0;SP;ES;SP
11;01/06/2003;16h00;Domingo;Figueirense;Grêmio;Figueirense;Orlando Scarpelli;2;1;SC;RS;SC
11;01/06/2003;16h00;Domingo;Fortaleza;Juventude;Fortaleza;Castelão;3;1;CE;RS;CE
11;01/06/2003;16h00;Domingo;Paraná;Flamengo;Paraná;Pinheirão;6;2;PR;RJ;PR
11;01/06/2003;16h00;Domingo;Santos;São Paulo;Santos;Vila Belmiro;3;2;SP;SP;SP
12;07/06/2003;18h00;Sábado;Atlético-MG;Figueirense;-;Independência;1;1;MG;SC;-
12;07/06/2003;16h00;Sábado;Grêmio;Fortaleza;Grêmio;Olímpico Monumental;3;1;RS;CE;RS
12;07/06/2003;16h00;Sábado;Guarani;Santos;Santos;Brinco de Ouro;1;2;SP;SP;SP
12;07/06/2003;16h00;Sábado;Vitória;Fluminense;Vitória;Barradão;2;1;ES;RJ;ES
12;08/06/2003;18h00;Domingo;São Paulo;Bahia;-;Morumbi;2;2;SP;BA;-
12;08/06/2003;16h00;Domingo;Juventude;Vasco;-;Alfredo Jaconi;0;0;RS;RJ;-
12;08/06/2003;16h00;Domingo;Athlético-PR;Ponte Preta;Athlético-PR;Arena da Baixada;4;2;PR;SP;PR
12;08/06/2003;16h00;Domingo;Goiás;Coritiba;Coritiba;Serra Dourada;1;2;GO;PR;PR
12;08/06/2003;18h00;Domingo;Criciúma;Internacional;Criciúma;Heriberto Hulse;1;0;SC;RS;SC
12;08/06/2003;16h00;Domingo;Paysandu;Paraná;Paysandu;Mangueirão;3;0;PA;PR;PA
12;08/06/2003;16h00;Domingo;São Caetano;Corinthians;São Caetano;Anacleto Campanella;1;0;SP;SP;SP
13;14/06/2003;18h00;Sábado;Coritiba;Athlético-PR;Coritiba;Couto Pereira;2;0;PR;PR;PR
13;14/06/2003;16h00;Sábado;Fluminense;Goiás;Goiás;Maracanã;2;3;RJ;GO;GO
13;14/06/2003;16h00;Sábado;Ponte Preta;Guarani;Guarani;Moisés Lucarelli;0;2;SP;SP;SP
13;15/06/2003;18h00;Domingo;Cruzeiro;Atlético-MG;-;Mineirão;0;0;MG;MG;-
13;15/06/2003;16h00;Domingo;Grêmio;Internacional;-;Olímpico Monumental;0;0;RS;RS;-
13;15/06/2003;16h00;Domingo;Bahia;Vitória;Bahia;Fonte Nova;2;1;BA;ES;BA
13;15/06/2003;16h00;Domingo;Criciúma;Figueirense;Criciúma;Heriberto Hulse;1;0;SC;SC;SC
13;15/06/2003;18h00;Domingo;Vasco;Flamengo;Flamengo;Maracanã;1;2;RJ;RJ;RJ
13;15/06/2003;16h00;Domingo;Paraná;Juventude;Juventude;Pinheirão;1;2;PR;RS;RS
13;15/06/2003;16h00;Domingo;Fortaleza;Paysandu;Paysandu;Presidente Vargas;1;2;CE;PA;PA
13;15/06/2003;16h00;Domingo;Santos;São Caetano;São Caetano;Vila Belmiro;0;1;SP;SP;SP
13;15/06/2003;16h00;Domingo;Corinthians;São Paulo;São Paulo;Morumbi;1;2;SP;SP;SP
14;19/06/2003;16h00;Quinta-feira;Bahia;Coritiba;-;Fonte Nova;2;2;BA;PR;-
14;21/06/2003;16h00;Sábado;Atlético-MG;Grêmio;Atlético-MG;Mineirão;3;2;MG;RS;MG
14;21/06/2003;16h00;Sábado;Internacional;Paraná;Internacional;Beira Rio;2;1;RS;PR;RS
14;21/06/2003;18h00;Sábado;São Paulo;Goiás;São Paulo;Morumbi;1;0;SP;GO;SP
14;21/06/2003;16h00;Sábado;Vasco;Criciúma;Vasco;São Januário;2;0;RJ;SC;RJ
14;22/06/2003;16h00;Domingo;Ponte Preta;Corinthians;-;Moisés Lucarelli;3;3;SP;SP;-
14;22/06/2003;16h00;Domingo;Paysandu;Flamengo;-;Mangueirão;2;2;PA;RJ;-
14;22/06/2003;16h00;Domingo;Figueirense;Fortaleza;-;Orlando Scarpelli;2;2;SC;CE;-
14;22/06/2003;18h00;Domingo;Juventude;Cruzeiro;Cruzeiro;Alfredo Jaconi;0;1;RS;MG;MG
14;22/06/2003;18h00;Domingo;Fluminense;Guarani;Fluminense;Maracanã;5;2;RJ;SP;RJ
14;22/06/2003;16h00;Domingo;São Caetano;Vitória;São Caetano;Anacleto Campanella;2;1;SP;ES;SP
15;28/06/2003;16h00;Sábado;Coritiba;São Caetano;Coritiba;Couto Pereira;2;0;PR;SP;PR
15;28/06/2003;18h00;Sábado;Flamengo;Figueirense;Figueirense;Maracanã;0;2;RJ;SC;SC
15;28/06/2003;16h00;Sábado;Grêmio;Juventude;Juventude;Olímpico Monumental;1;4;RS;RS;RS
15;28/06/2003;16h00;Sábado;Santos;Bahia;Santos;Vila Belmiro;4;0;SP;BA;SP
15;28/06/2003;16h00;Sábado;Fortaleza;Vasco;Vasco;Castelão;0;1;CE;RJ;RJ
15;29/06/2003;18h00;Domingo;Paraná;Atlético-MG;-;Pinheirão;1;1;PR;MG;-
15;29/06/2003;16h00;Domingo;Corinthians;Fluminense;Corinthians;Pacaembu;1;0;SP;RJ;SP
15;29/06/2003;16h00;Domingo;Criciúma;Paysandu;Criciúma;Heriberto Hulse;2;0;SC;PA;SC
15;29/06/2003;18h00;Domingo;Cruzeiro;Internacional;Cruzeiro;Mineirão;3;2;MG;RS;MG
15;29/06/2003;16h00;Domingo;Guarani;São Paulo;São Paulo;Brinco de Ouro;0;1;SP;SP;SP
15;29/06/2003;16h00;Domingo;Vitória;Athlético-PR;Vitória;Barradão;1;0;ES;PR;ES
16;05/07/2003;16h00;Sábado;São Paulo;São Caetano;-;Morumbi;1;1;SP;SP;-
16;05/07/2003;16h00;Sábado;Atlético-MG;Paysandu;Atlético-MG;Independência;3;2;MG;PA;MG
16;05/07/2003;16h00;Sábado;Figueirense;Cruzeiro;Figueirense;Orlando Scarpelli;1;0;SC;MG;SC
16;05/07/2003;16h00;Sábado;Vasco;Paraná;Paraná;São Januário;1;4;RJ;PR;PR
16;06/07/2003;16h00;Domingo;Juventude;Internacional;-;Alfredo Jaconi;1;1;RS;RS;-
16;06/07/2003;16h00;Domingo;Athlético-PR;Corinthians;Athlético-PR;Arena da Baixada;3;1;PR;SP;PR
16;06/07/2003;16h00;Domingo;Fortaleza;Criciúma;Criciúma;Presidente Vargas;0;1;CE;SC;SC
16;06/07/2003;18h00;Domingo;Fluminense;Bahia;Fluminense;Maracanã;1;0;RJ;BA;RJ
16;06/07/2003;16h00;Domingo;Grêmio;Flamengo;Grêmio;Olímpico Monumental;2;0;RS;RJ;RS
16;06/07/2003;16h00;Domingo;Guarani;Goiás;Guarani;Brinco de Ouro;3;2;SP;GO;SP
16;06/07/2003;16h00;Domingo;Vitória;Ponte Preta;Ponte Preta;Barradão;1;4;ES;SP;SP
16;06/07/2003;18h00;Domingo;Santos;Coritiba;Santos;Vila Belmiro;3;1;SP;PR;SP
17;09/07/2003;16h00;Quarta-feira;São Caetano;Athlético-PR;-;Anacleto Campanella;0;0;SP;PR;-
17;09/07/2003;16h00;Quarta-feira;Corinthians;Santos;-;Morumbi;1;1;SP;SP;-
17;09/07/2003;20h30;Quarta-feira;Goiás;Vitória;-;Serra Dourada;1;1;GO;ES;-
17;09/07/2003;20h30;Quarta-feira;Bahia;Guarani;Bahia;Fonte Nova;2;0;BA;SP;BA
17;09/07/2003;20h30;Quarta-feira;Cruzeiro;Fortaleza;Cruzeiro;Mineirão;2;0;MG;CE;MG
17;09/07/2003;20h30;Quarta-feira;Flamengo;Juventude;Flamengo;Maracanã;2;1;RJ;RS;RJ
17;09/07/2003;21h40;Quarta-feira;Internacional;Vasco;Internacional;Beira Rio;2;1;RS;RJ;RS
17;09/07/2003;20h30;Quarta-feira;Paysandu;Figueirense;Paysandu;Mangueirão;1;0;PA;SC;PA
17;09/07/2003;21h40;Quarta-feira;Coritiba;São Paulo;São Paulo;Couto Pereira;0;2;PR;SP;SP
17;10/07/2003;20h30;Quinta-feira;Criciúma;Atlético-MG;Criciúma;Heriberto Hulse;1;0;SC;MG;SC
17;10/07/2003;20h30;Quinta-feira;Paraná;Grêmio;Paraná;Pinheirão;3;1;PR;RS;PR
17;10/07/2003;20h30;Quinta-feira;Ponte Preta;Fluminense;Ponte Preta;Moisés Lucarelli;3;0;SP;RJ;SP
18;12/07/2003;16h00;Sábado;Athlético-PR;Goiás;-;Arena da Baixada;0;0;PR;GO;-
18;12/07/2003;16h00;Sábado;Fortaleza;Internacional;Fortaleza;Castelão;3;0;CE;RS;CE
18;12/07/2003;18h00;Sábado;Vasco;Paysandu;Paysandu;São Januário;0;2;RJ;PA;PA
18;13/07/2003;16h00;Domingo;Atlético-MG;Flamengo;Atlético-MG;Mineirão;1;0;MG;RJ;MG
18;13/07/2003;16h00;Domingo;Corinthians;Coritiba;Coritiba;Morumbi;0;1;SP;PR;PR
18;13/07/2003;16h00;Domingo;Criciúma;Juventude;Criciúma;Heriberto Hulse;3;0;SC;RS;SC
18;13/07/2003;18h00;Domingo;Grêmio;Cruzeiro;Cruzeiro;Olímpico Monumental;0;1;RS;MG;MG
18;13/07/2003;16h00;Domingo;Figueirense;Paraná;Figueirense;Orlando Scarpelli;4;2;SC;PR;SC
18;13/07/2003;16h00;Domingo;São Caetano;Guarani;Guarani;Anacleto Campanella;0;2;SP;SP;SP
18;13/07/2003;16h00;Domingo;Ponte Preta;Bahia;Ponte Preta;Moisés Lucarelli;1;0;SP;BA;SP
18;13/07/2003;16h00;Domingo;Fluminense;São Paulo;São Paulo;Maracanã;1;3;RJ;SP;SP
18;13/07/2003;18h00;Domingo;Vitória;Santos;Vitória;Barradão;2;0;ES;SP;ES
19;16/07/2003;20h30;Quarta-feira;Internacional;Atlético-MG;-;Beira Rio;3;3;RS;MG;-
19;16/07/2003;21h40;Quarta-feira;Goiás;Corinthians;-;Serra Dourada;1;1;GO;SP;-
19;16/07/2003;20h30;Quarta-feira;Bahia;São Caetano;-;Fonte Nova;0;0;BA;SP;-
19;16/07/2003;20h30;Quarta-feira;Guarani;Vitória;-;Brinco de Ouro;2;2;SP;ES;-
19;16/07/2003;20h30;Quarta-feira;Coritiba;Fluminense;Coritiba;Couto Pereira;3;0;PR;RJ;PR
19;16/07/2003;21h40;Quarta-feira;Cruzeiro;Vasco;Cruzeiro;Mineirão;4;1;MG;RJ;MG
19;16/07/2003;20h30;Quarta-feira;Juventude;Figueirense;Figueirense;Alfredo Jaconi;1;2;RS;SC;SC
19;16/07/2003;20h30;Quarta-feira;Flamengo;Fortaleza;Fortaleza;Maracanã;0;2;RJ;CE;CE
19;16/07/2003;21h40;Quarta-feira;Santos;Ponte Preta;Santos;Vila Belmiro;2;1;SP;SP;SP
19;17/07/2003;20h30;Quinta-feira;Paysandu;Grêmio;-;Mangueirão;1;1;PA;RS;-
19;17/07/2003;20h30;Quinta-feira;São Paulo;Athlético-PR;São Paulo;Morumbi;2;0;SP;PR;SP
20;19/07/2003;16h00;Sábado;Corinthians;Guarani;Corinthians;Pacaembu;1;0;SP;SP;SP
20;19/07/2003;16h00;Sábado;Fortaleza;Atlético-MG;Fortaleza;Castelão;4;3;CE;MG;CE
20;19/07/2003;18h00;Sábado;Internacional;Figueirense;Internacional;Beira Rio;3;0;RS;SC;RS
20;19/07/2003;16h00;Sábado;Fluminense;Santos;Santos;Giulite Coutinho;1;4;RJ;SP;SP
20;20/07/2003;16h00;Domingo;Ponte Preta;Coritiba;-;Moisés Lucarelli;1;1;SP;PR;-
20;20/07/2003;16h00;Domingo;Athlético-PR;Bahia;Athlético-PR;Arena da Baixada;2;1;PR;BA;PR
20;20/07/2003;16h00;Domingo;Criciúma;Flamengo;Criciúma;Heriberto Hulse;4;3;SC;RJ;SC
20;20/07/2003;18h00;Domingo;Cruzeiro;Paraná;Cruzeiro;Mineirão;5;1;MG;PR;MG
20;20/07/2003;16h00;Domingo;Goiás;São Caetano;Goiás;Serra Dourada;2;1;GO;SP;GO
20;20/07/2003;16h00;Domingo;Juventude;Paysandu;Juventude;Alfredo Jaconi;2;0;RS;PA;RS
20;20/07/2003;16h00;Domingo;Vitória;São Paulo;São Paulo;Barradão;0;2;ES;SP;SP
20;20/07/2003;18h00;Domingo;Vasco;Grêmio;Vasco;São Januário;2;0;RJ;RS;RJ
21;23/07/2003;21h40;Quarta-feira;Bahia;Corinthians;-;Fonte Nova;0;0;BA;SP;-
21;23/07/2003;21h40;Quarta-feira;Santos;Goiás;-;Vila Belmiro;3;3;SP;GO;-
21;23/07/2003;21h40;Quarta-feira;Figueirense;Vasco;-;Orlando Scarpelli;0;0;SC;RJ;-
21;23/07/2003;20h30;Quarta-feira;Atlético-MG;Juventude;Atlético-MG;Mineirão;2;1;MG;RS;MG
21;23/07/2003;20h30;Quarta-feira;Guarani;Athlético-PR;Guarani;Brinco de Ouro;1;0;SP;PR;SP
21;23/07/2003;20h30;Quarta-feira;Paraná;Fortaleza;Paraná;Pinheirão;4;1;PR;CE;PR
21;23/07/2003;20h30;Quarta-feira;Paysandu;Cruzeiro;Paysandu;Mangueirão;3;0;PA;MG;PA
21;24/07/2003;20h30;Quinta-feira;Coritiba;Vitória;-;Couto Pereira;1;1;PR;ES;-
21;24/07/2003;20h30;Quinta-feira;Grêmio;Criciúma;Criciúma;Olímpico Monumental;0;2;RS;SC;SC
21;24/07/2003;20h30;Quinta-feira;Flamengo;Internacional;Flamengo;Maracanã;2;1;RJ;RS;RJ
